epoch;loss;lr;mean_squared_error;val_loss;val_mean_squared_error
0;1.07913694865;0.001;1.02084953926;0.566134168748;0.566134013143
1;0.562513371676;0.001;0.532892459414;0.489011785887;0.489011644557
2;0.51811321262;0.001;0.491184488224;0.504580263919;0.504580109622
3;0.496621513161;0.001;0.471058480281;0.50778486897;0.507784714673
4;0.477614013106;0.001;0.453241346673;0.503801706431;0.503801563794
5;0.461302556999;0.001;0.438092864088;0.490962034088;0.490961942011
6;0.44644612809;0.001;0.424361674989;0.471257320238;0.471257190568
7;0.434097562234;0.001;0.412987043051;0.444745021394;0.444744846393
8;0.422879851056;0.001;0.402538339973;0.419350057744;0.419349960492
9;0.414885767016;0.001;0.395054970731;0.40218910852;0.402189011268
10;0.407251682652;0.001;0.387796079776;0.38356502746;0.383564966493
11;0.400460470835;0.001;0.381317575886;0.363853319091;0.363853211486
12;0.393848410014;0.001;0.375014754136;0.349074010193;0.349073909072
13;0.388155451295;0.001;0.369597035834;0.338990051822;0.33898996236
14;0.383618941354;0.001;0.365252674583;0.330522521517;0.330522432055
15;0.378223916385;0.001;0.360144449934;0.321805497298;0.321805391001
16;0.374008886323;0.001;0.356078168497;0.313038638342;0.313038538529
17;0.36981013774;0.001;0.352130086651;0.306058696576;0.306058636917
18;0.366064110094;0.001;0.348490346605;0.302193241139;0.302193181479
19;0.362181343542;0.001;0.344779445287;0.29594438581;0.295944320975
20;0.35934655964;0.001;0.342032039789;0.294236369103;0.294236292608
21;0.35633199828;0.001;0.339127690636;0.291305552668;0.291305464514
22;0.353350178189;0.001;0.336267646661;0.289289957058;0.289289892223
23;0.350576551531;0.001;0.333632543192;0.288221187345;0.288221128993
24;0.347622860164;0.001;0.330801195599;0.2873691102;0.287369063508
25;0.345137503506;0.001;0.328424770344;0.287103133309;0.287103074958
26;0.343059174768;0.001;0.326450563466;0.286380554013;0.286380495661
27;0.340644066466;0.001;0.324144786913;0.285016232658;0.285016156163
28;0.338715302246;0.001;0.322291773397;0.285311563879;0.285311505528
29;0.336646255954;0.001;0.320284870951;0.28343323088;0.283433166045
30;0.334894155425;0.001;0.318592622431;0.283860057388;0.283859987377
31;0.333131943802;0.001;0.31691242112;0.283402135938;0.283402082762
32;0.331797713451;0.001;0.315660394382;0.283367446514;0.283367381679
33;0.330609620926;0.001;0.314503434955;0.284132600671;0.284132535835
34;0.328841157086;0.001;0.312800705795;0.283151549478;0.283151478159
35;0.327211260961;0.001;0.311271805392;0.282485736574;0.282485683398
36;0.326012864753;0.001;0.310113816382;0.281977381725;0.28197731689
37;0.324517447257;0.001;0.308679092625;0.282698714425;0.282698667733
38;0.323744550929;0.001;0.307924362638;0.281967813403;0.281967736909
39;0.322911477124;0.001;0.307157032435;0.281813704894;0.281813651718
40;0.321817349775;0.001;0.30605610653;0.2825659841;0.282565930924
41;0.32083435892;0.001;0.305138836436;0.282059052152;0.282058980834
42;0.319654404825;0.001;0.304025529474;0.282812356603;0.282812303428
43;0.318603336533;0.001;0.303006669608;0.282297285809;0.282297239117
44;0.317686099309;0.001;0.302163893714;0.284018993666;0.284018935315
45;0.317331515731;0.001;0.301806451171;0.281817475964;0.281817440931
46;0.316150452067;0.001;0.300692660198;0.281651573079;0.281651496584
47;0.315737803302;0.001;0.300302229962;0.281957992356;0.281957922345
48;0.315003420396;0.001;0.299581239286;0.281538623233;0.281538553222
49;0.314133978874;0.001;0.298776875676;0.281392033549;0.281391933736
50;0.313337170813;0.001;0.298028410084;0.281261272852;0.281261202841
51;0.313029132257;0.001;0.297727296236;0.281595185834;0.281595126174
52;0.312271122969;0.001;0.296993536176;0.28186073031;0.281860660299
53;0.312053533849;0.001;0.296765555885;0.281218149077;0.281218090725
54;0.31085677318;0.001;0.295642532147;0.280875816868;0.280875775352
55;0.310576754365;0.001;0.295380855175;0.281113635295;0.281113583427
56;0.309912254114;0.001;0.29474705262;0.280932433148;0.280932374797
57;0.309431964732;0.001;0.294288841247;0.280932679034;0.280932609023
58;0.308975777911;0.001;0.293873049875;0.281097100261;0.281097058745
59;0.308850922372;0.001;0.293740068989;0.280900261242;0.280900184748
60;0.308110385463;0.001;0.293039451266;0.281221268845;0.281221216977
61;0.307453930492;0.001;0.292420410305;0.280839985323;0.280839920488
62;0.306963662628;0.001;0.291980273764;0.280746587764;0.28074651127
63;0.30629898003;0.001;0.291324577323;0.28140461044;0.281404515803
64;0.306036316011;0.001;0.291089075419;0.281191049375;0.281190979364
65;0.305880788748;0.001;0.290957264609;0.281438785728;0.281438739036
66;0.305452483085;0.001;0.290533803098;0.280837945143;0.280837898451
67;0.304864893642;0.001;0.289979975361;0.280781816657;0.280781740162
68;0.304386697828;0.001;0.289521354532;0.281352706866;0.281352660174
69;0.304426981131;0.001;0.289575069402;0.281193204808;0.281193141281
70;0.303769688201;0.001;0.288941635559;0.281943277487;0.281943219136
71;0.302818786328;0.0001;0.288064276904;0.281536176738;0.281536111903
72;0.302155319032;0.0001;0.287408827967;0.281497267175;0.28149720234
0;0.769783659534;0.001;0.727553020221;0.58828882689;0.588288710187
1;0.495304536808;0.001;0.468199478694;0.479779553077;0.479779424714
2;0.4678211524;0.001;0.442237915641;0.474406925989;0.474406809286
