epoch;loss;lr;mean_squared_error;val_loss;val_mean_squared_error
0;0.45314177686;0.001;0.42766572752;0.295534332782;0.295534335001
1;0.343479619568;0.001;0.325480094495;0.289677244579;0.289677243438
2;0.324719697943;0.001;0.308098559859;0.282336386702;0.28233638306
3;0.318142097566;0.001;0.301997627795;0.28050299773;0.28050299852
4;0.314673324593;0.001;0.298800696947;0.282165830619;0.28216583055
5;0.31216874049;0.001;0.296489454095;0.280826547904;0.280826549051
6;0.310478609831;0.001;0.294924231416;0.280066911976;0.280066912979
7;0.308892658382;0.001;0.293495957276;0.280892319;0.280892323219
8;0.307588530413;0.001;0.292269353523;0.278888001321;0.27888800018
9;0.306647418158;0.001;0.291395569981;0.280269941621;0.280269943482
10;0.305663708862;0.001;0.290505806178;0.281810878187;0.281810880619
11;0.304660651338;0.001;0.289579661087;0.279115234329;0.279115239118
12;0.303756710988;0.001;0.288761378611;0.278909581705;0.278909578207
13;0.303319449311;0.001;0.288327953709;0.27803791184;0.2780379132
14;0.302454254445;0.001;0.287523739521;0.279861250583;0.279861251229
15;0.301431879889;0.001;0.286605132056;0.278048156422;0.278048161142
16;0.300865989244;0.001;0.286067690069;0.279110854096;0.279110852955
17;0.299968401165;0.001;0.285249183311;0.279937708272;0.279937705846
18;0.299561833342;0.001;0.284901659297;0.277992190842;0.27799218577
19;0.298840538093;0.001;0.284192737701;0.279552283082;0.279552280869
20;0.297808535544;0.001;0.283210325443;0.280126400132;0.280126392559
21;0.297354465752;0.001;0.282781662959;0.279680817057;0.279680817345
22;0.296751869726;0.001;0.282264276085;0.278344933164;0.278344934813
23;0.296072585825;0.001;0.281621499853;0.281578325875;0.281578326664
24;0.295455179667;0.001;0.281046546189;0.279643907457;0.279643907099
25;0.29027842362;0.0001;0.276219856194;0.278382806587;0.278382810806
26;0.288516836346;0.0001;0.274559234934;0.278774175997;0.278774178642
27;0.287629635752;0.0001;0.27373550518;0.27881331232;0.278813317611
28;0.287455928041;0.0001;0.273583294765;0.27899251106;0.278992512421
0;0.463124691789;0.001;0.436577372417;0.325269067319;0.325269071895
1;0.364407708385;0.001;0.343624351341;0.318264651363;0.318264656296
2;0.347605833472;0.001;0.327922174467;0.315299488646;0.315299490507
3;0.341816331853;0.001;0.322559407904;0.310415008033;0.310415012396
4;0.337795617207;0.001;0.318811266174;0.308596768577;0.308596766151
5;0.336028658794;0.001;0.317156689971;0.308372818782;0.308372815999
6;0.334227746852;0.001;0.31550962813;0.311400616311;0.311400619101
7;0.332492485339;0.001;0.313911459571;0.307653321452;0.307653326028
8;0.331068782421;0.001;0.312589532539;0.307203945337;0.307203948841
9;0.329945127248;0.001;0.311576033587;0.30622100598;0.306221008054
10;0.32898020983;0.001;0.310680705159;0.305991705972;0.305991709119
11;0.327749600475;0.001;0.309572037957;0.306367957186;0.30636796269
12;0.32709090066;0.001;0.308922900349;0.308735826042;0.308735828186
13;0.325942849349;0.001;0.307893146422;0.307411861626;0.307411862986
14;0.325082346576;0.001;0.307107274782;0.307439064254;0.307439062756
15;0.324231184858;0.001;0.306314809833;0.308100096265;0.308100099199
16;0.323547363153;0.001;0.305656604373;0.307674599958;0.307674603249
17;0.322441953336;0.001;0.304655592308;0.307621585796;0.307621584297
18;0.32180977899;0.001;0.304091464183;0.306539196099;0.306539199747
19;0.321267961508;0.001;0.303610337355;0.307221143027;0.307221138883
20;0.320033731846;0.001;0.302461662905;0.308605181574;0.308605182007
0;0.535282541312;0.001;0.506682805105;0.339206998609;0.339206998897
1;0.386302888144;0.001;0.365950379665;0.32789822946;0.327898227962
2;0.355395556449;0.001;0.336746385186;0.325324154974;0.325324157406
3;0.345731900461;0.001;0.32770290727;0.323359435833;0.323359432548
4;0.340387445745;0.001;0.322757481658;0.323736849714;0.323736841426
5;0.337470588167;0.001;0.320028622637;0.321690370941;0.321690373874
6;0.335361383139;0.001;0.318056575062;0.320372910667;0.320372909526
7;0.333472879425;0.001;0.31632671582;0.320705034454;0.320705038817
8;0.331833914969;0.001;0.314819617863;0.322059647387;0.322059649249
9;0.330527260482;0.001;0.313626479324;0.321485766287;0.321485764932
10;0.329203727164;0.001;0.312392929427;0.321633050688;0.321633052763
11;0.328342803746;0.001;0.311589278804;0.322604504104;0.322604506323
12;0.327195265627;0.001;0.310548854182;0.322190353267;0.322190355843
13;0.326177271896;0.001;0.309589260818;0.323121945877;0.323121950096
14;0.324882139786;0.001;0.308407110485;0.321702082088;0.321702083592
15;0.323392797967;0.001;0.30703084518;0.324894919055;0.324894911269
16;0.323012324104;0.001;0.306635666637;0.321747911212;0.321747912861
0;0.557225643132;0.001;0.528589123752;0.361424374634;0.361424376853
1;0.414062995478;0.001;0.391956768467;0.344841504176;0.344841506608
2;0.383206581845;0.001;0.362385013853;0.338301235871;0.338301232799
3;0.371839277281;0.001;0.351592478657;0.336794262158;0.336794266734
4;0.366441586513;0.001;0.346492976382;0.335075911124;0.335075917844
5;0.362141793255;0.001;0.342510454021;0.333840298862;0.333840304153
6;0.359540120057;0.001;0.340085279878;0.334028294358;0.334028293217
7;0.356798253215;0.001;0.337519078518;0.333373986288;0.333373990864
8;0.355121914893;0.001;0.335946005643;0.33288157346;0.332881576607
9;0.353040769027;0.001;0.334013451621;0.336720196299;0.336720196086
10;0.351055282954;0.001;0.332196191146;0.33329205022;0.333292056012
11;0.349430803476;0.001;0.330679198001;0.334720089073;0.334720093435
12;0.347853100742;0.001;0.329195583714;0.333816272635;0.333816269852
13;0.346653443924;0.001;0.328083806855;0.334321609524;0.334321609812
